#,"Link ID","Name","Target","Descriptive Title","Description","[User Passport Groups] Passport Group ID","[User Passport Groups] Passport Group","[User Passport Groups] Priority","[User Passport Groups] Icon","Show In Tasklist","Status","Icon","Priority"
83,"119","View skill set","modules/citizen/listview_skill_set.php","Skill","","1","Default","0","blue_folder3.png","Yes","On","form3.png","0"
84,"120","Delete skill set","modules/citizen/delete_skill_set.php","Delete Skill","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
85,"121","Add Nationality","modules/citizen/add_nationality.php","Add Nationality","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
86,"122","Edit Nationality","modules/citizen/edit_nationality.php","Edit Nationality","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
87,"123","Delete Nationality","modules/citizen/delete_nationality.php","Delete Nationality","","1","Default","0","blue_folder3.png","No","On","form3.png","0"
88,"1","Module Control","sysadmin/module_control.php","Module Control","Enable or disable system modules","2","Admin","0","preferences-system.png","Yes","On","modulecontrol.png","0"
89,"2","Set User Passports","sysadmin/set_user_passports.php","Set User Passports","Change the passport settings of system users","2","Admin","0","preferences-system.png","Yes","On","passport.png","0"
90,"3","Security Monitor","sysadmin/security_monitor.php","Security Monitor","Examine the system log","2","Admin","0","preferences-system.png","Yes","On","security3.png","0"
91,"4","Add person","sysadmin/add_person.php","Add Person","","2","Admin","0","preferences-system.png","No","On","form.png","0"
92,"5","Edit person","sysadmin/edit_person.php","Edit Person","","2","Admin","0","preferences-system.png","No","On","form.png","0"
93,"6","View person","sysadmin/listview_person.php","Person","","2","Admin","0","preferences-system.png","Yes","On","persons.png","0"
94,"7","Delete person","sysadmin/delete_person.php","Delete Person","","2","Admin","0","preferences-system.png","No","On","form.png","0"
95,"8","Add user","sysadmin/add_user.php","Add User","","2","Admin","0","preferences-system.png","No","On","form.png","0"
96,"9","Edit user","sysadmin/edit_user.php","Edit User","","2","Admin","0","preferences-system.png","No","On","form.png","0"
97,"10","View user","sysadmin/listview_user.php","User","","2","Admin","0","preferences-system.png","Yes","On","card.png","0"
98,"11","Delete user","sysadmin/delete_user.php","Delete User","","2","Admin","0","preferences-system.png","No","On","form.png","0"
99,"12","Add user role","sysadmin/add_user_role.php","Add User Role","","2","Admin","0","preferences-system.png","No","On","form.png","0"
100,"13","Edit user role","sysadmin/edit_user_role.php","Edit User Role","","2","Admin","0","preferences-system.png","No","On","form.png","0"
101,"14","View user role","sysadmin/listview_user_role.php","User Roles","","2","Admin","0","preferences-system.png","Yes","On","roles.png","0"
102,"15","Delete user role","sysadmin/delete_user_role.php","Delete User Role","","2","Admin","0","preferences-system.png","No","On","form.png","0"
103,"16","Add system settings","sysadmin/add_system_settings.php","Add System Settings","","2","Admin","0","preferences-system.png","No","On","form.png","0"
104,"17","Edit system settings","sysadmin/edit_system_settings.php","Edit System Settings","","2","Admin","0","preferences-system.png","No","On","form.png","0"
105,"18","View system settings","sysadmin/listview_system_settings.php","System Settings","","2","Admin","0","preferences-system.png","Yes","On","system_settings.png","0"
106,"19","Delete system settings","sysadmin/delete_system_settings.php","Delete System Settings","","2","Admin","0","preferences-system.png","No","On","form.png","0"
107,"20","Add user links","sysadmin/add_user_links.php","Add User Links","","2","Admin","0","preferences-system.png","No","On","form.png","0"
108,"21","Edit user links","sysadmin/edit_user_links.php","Edit User Links","","2","Admin","0","preferences-system.png","No","On","form.png","0"
109,"22","View user links","sysadmin/listview_user_links.php","User Links","","2","Admin","0","preferences-system.png","Yes","On","links.png","0"
110,"23","Delete user links","sysadmin/delete_user_links.php","Delete User Links","","2","Admin","0","preferences-system.png","No","On","form.png","0"
111,"24","Add user passport groups","sysadmin/add_user_passport_groups.php","Add User Passport Groups","","2","Admin","0","preferences-system.png","No","On","form.png","0"
112,"25","Edit user passport groups","sysadmin/edit_user_passport_groups.php","Edit User Passport Groups","","2","Admin","0","preferences-system.png","No","On","form.png","0"
113,"26","View user passport groups","sysadmin/listview_user_passport_groups.php","User Passport Groups","","2","Admin","0","preferences-system.png","Yes","On","passportgroup.png","0"
114,"27","Delete user passport groups","sysadmin/delete_user_passport_groups.php","Delete User Passport Groups","","2","Admin","0","preferences-system.png","No","On","form.png","0"
115,"28","Add system skins","sysadmin/add_system_skins.php","Add System Skins","","2","Admin","0","preferences-system.png","No","On","form.png","0"
116,"29","Edit system skins","sysadmin/edit_system_skins.php","Edit System Skins","","2","Admin","0","preferences-system.png","No","On","form.png","0"
117,"30","View system skins","sysadmin/listview_system_skins.php","System Skins","","2","Admin","0","preferences-system.png","Yes","On","system_skins.png","0"
118,"31","Delete system skins","sysadmin/delete_system_skins.php","Delete System Skins","","2","Admin","0","preferences-system.png","No","On","form.png","0"
119,"32","Reset Password","sysadmin/reset_password.php","Reset Password","","2","Admin","0","preferences-system.png","Yes","On","lock_big.png","0"
120,"33","Add cobalt sst","sst/add_cobalt_sst.php","Add Cobalt SST","","2","Admin","0","preferences-system.png","No","On","form3.png","0"
121,"34","Edit cobalt sst","sst/edit_cobalt_sst.php","Edit Cobalt SST","","2","Admin","0","preferences-system.png","No","On","form3.png","0"
122,"35","View cobalt sst","sst/listview_cobalt_sst.php","Cobalt SST","","2","Admin","0","preferences-system.png","Yes","On","form3.png","0"
123,"36","Delete cobalt sst","sst/delete_cobalt_sst.php","Delete Cobalt SST","","2","Admin","0","preferences-system.png","No","On","form3.png","0"
124,"124","View Nationality","modules/citizen/listview_nationality.php","View Nationality","","2","Admin","0","preferences-system.png","Yes","On","form3.png","0"
124,"","","","","","","","","","","","",""
