CITY OF DASMARI¥AS,42106000,24
CITY OF DIGOS (Capital),112403000,31
CITY OF ELSALVADOR,104307000,52
CITY OF ESCALANTE,184509000,55
CITY OF GAPAN,34908000,58
CITY OF GENERALTRIAS,42108000,24
CITY OF GUIHULNGAN,184611000,56
CITY OF HIMAMAYLAN,184510000,55
CITY OF KABANKALAN,184515000,55
CITY OF KIDAPAWAN (Capital),124704000,28
CITY OF KORONADAL (Capital),126306000,73
CITY OF LAMITAN,150702000,9
CITY OF LIGAO,50508000,5
CITY OF MAASIN (Capital),86407000,74
CITY OF MALAYBALAY (Capital),101312000,16
CITY OF MALOLOS (Capital),31410000,17
CITY OF MASBATE (Capital),54111000,50
CITY OF MATI (Capital),112509000,33
CITY OF MEYCAUAYAN,31412000,17
CITY OF NAGA,72234000,25
CITY OF PANABO,112315000,30
CITY OF PASSI,63035000,40
CITY OF SANFERNANDO (Capital),13314000,43
CITY OF SANFERNANDO (Capital),35416000,63
CITY OF SANJOSEDELMONTE,31420000,17
CITY OF SANPEDRO,43425000,44
CITY OF SANTAROSA,43428000,44
CITY OF SANTIAGO,23135000,41
CITY OF SIPALAY,184527000,55
CITY OF SORSOGON (Capital),56216000,72
CITY OF TABACO,50517000,5
CITY OF TABUK (Capital),143213000,42
CITY OF TACURONG,126511000,75
CITY OF TAGUM (Capital),112319000,30
CITY OF TALISAY,72250000,25
CITY OF TALISAY,184528000,55
CITY OF TANAUAN,41031000,12
CITY OF TANDAG (Capital),166819000,78
CITY OF TANJAY,184621000,56
CITY OF TARLAC (Capital),36916000,79
CITY OF TAYABAS,45647000,65
CITY OF URDANETA,15546000,64
CITY OF VALENCIA,101321000,16
CITY OF VICTORIAS,184531000,55
CITY OF VIGAN (Capital),12934000,39
CLARIN,71214000,15
CLARIN,104205000,51
CLAVER,166706000,77
CLAVERIA,21511000,18
CLAVERIA,54107000,50
CLAVERIA,104306000,52
COLUMBIO,126502000,75
COMPOSTELA,72218000,25
COMPOSTELA,118201000,27
CONCEPCION,63015000,40
CONCEPCION,104206000,51
CONCEPCION,175905000,68
CONCEPCION,36905000,79
CONNER,148102000,7
CONSOLACION,72219000,25
CORCUERA,175906000,68
CORDON,23109000,41
CORDOVA,72220000,25
CORELLA,71215000,15
CORON,175309000,62
CORTES,71216000,15
CORTES,166808000,78
COTABATO CITY,129804000,29
CUARTERO,61901000,22
CUENCA,41009000,12
CULABA,87805000,14
CULASI,60606000,6
CULION,175322000,62
CURRIMAO,12808000,38
CUYAPO,34906000,58
CUYO,175310000,62
DAANBANTAYAN,72221000,25
